model,mentioned_in_papers
AWI-ESM-1-1-LR,ramirez2023uncer.md
BCC-CSM2-MR,nathan2023future.md;ramirez2023uncer.md;zhong2023pacific.md
BCC-ESM1,ramirez2023uncer.md
CESM2-FV2,ramirez2023uncer.md
CESM2-WACCM-FV2,ramirez2023uncer.md
CMCC-CM2-HR4,ramirez2023uncer.md
CMCC-CM2-SR5,nathan2023future.md;ramirez2023uncer.md
E3SM-1-0,ramirez2023uncer.md
E3SM-1-1,ramirez2023uncer.md
E3SM-1-1-ECA,ramirez2023uncer.md
EC-Earth3-AerChem,ramirez2023uncer.md
FGOALS-f3-L,nathan2023future.md;ramirez2023uncer.md;zhong2023pacific.md
GISS-E2-2-H,ramirez2023uncer.md
HadGEM3-GC31-MM,nathan2023future.md;ramirez2023uncer.md
MPI-ESM-1-2-HAM,ramirez2023uncer.md
NorCPM1,ramirez2023uncer.md
SAM0-UNICON,ramirez2023uncer.md
