model,institution,grid_label,nominal_resolution_km
ACCESS-CM2,CSIRO-ARCCSS,gn,250.0
ACCESS-ESM1-5,CSIRO,gn,250.0
AWI-CM-1-1-MR,AWI,gn,25.0
CAMS-CSM1-0,CAMS,gn,100.0
CAS-ESM2-0,CAS,gn,100.0
CESM2,NCAR,gn,100.0
CESM2-WACCM,NCAR,gn,100.0
CIESM,THU,gn,100.0
CMCC-ESM2,CMCC,gn,100.0
CNRM-CM6-1,CNRM-CERFACS,gn,100.0
CNRM-CM6-1-HR,CNRM-CERFACS,gn,25.0
CNRM-ESM2-1,CNRM-CERFACS,gn,100.0
CanESM5,CCCma,gn,100.0
CanESM5-1,CCCma,gn,100.0
CanESM5-CanOE,CCCma,gn,100.0
EC-Earth3,EC-Earth-Consortium,gn,100.0
EC-Earth3-CC,EC-Earth-Consortium,gn,100.0
EC-Earth3-Veg,EC-Earth-Consortium,gn,100.0
EC-Earth3-Veg-LR,EC-Earth-Consortium,gn,100.0
FGOALS-g3,CAS,gn,100.0
FIO-ESM-2-0,FIO-QLNM,gn,100.0
GFDL-CM4,NOAA-GFDL,gn,25.0
GFDL-ESM4,NOAA-GFDL,gn,50.0
GISS-E2-1-G,NASA-GISS,gn,250.0
GISS-E2-1-G-CC,NASA-GISS,gn,250.0
GISS-E2-1-H,NASA-GISS,gn,250.0
GISS-E2-2-G,NASA-GISS,gn,250.0
HadGEM3-GC31-LL,MOHC,gn,100.0
IITM-ESM,CCCR-IITM,gn,250.0
INM-CM4-8,INM,gr1,100.0
INM-CM5-0,INM,gr1,100.0
IPSL-CM6A-LR,IPSL,gn,100.0
KACE-1-0-G,NIMS-KMA,gr,250.0
KIOST-ESM,KIOST,gr1,250.0
MCM-UA-1-0,UA,gn,250.0
MIROC-ES2H,MIROC,gn,100.0
MIROC-ES2L,MIROC,gn,100.0
MIROC6,MIROC,gn,100.0
MPI-ESM1-2-HR,MPI-M,gn,50.0
MPI-ESM1-2-LR,MPI-M,gn,250.0
MRI-ESM2-0,MRI,gn,100.0
NESM3,NUIST,gn,100.0
NorESM2-LM,NCC,gn,100.0
NorESM2-MM,NCC,gn,100.0
TaiESM1,AS-RCEC,gn,100.0
UKESM1-0-LL,MOHC,gn,100.0
