number,1,2,3,4,5,6,7,8,9,10,11,12
M01,27.8838,28.2713,28.4032,28.2054,27.2908,25.5194,24.3349,24.1648,24.5782,25.3215,26.1897,27.0259
M02,27.8462,28.3741,28.4019,28.1528,26.8975,24.8282,24.0792,24.0830,24.3987,25.1073,25.9885,26.8790
M03,25.9848,27.2074,27.6489,26.9802,25.2912,23.7857,22.9982,22.2721,22.2276,22.8898,23.7643,24.7245
M04,26.8646,27.7694,27.8609,27.6067,26.2537,24.3130,23.3134,22.8796,22.8503,23.1562,23.8279,25.0698
M05,27.7569,28.2913,28.2019,27.9969,26.5390,24.0779,22.7692,22.6359,23.0704,23.9044,25.1055,26.5283
M06,26.9089,27.8072,28.4710,28.6055,28.0661,26.9940,25.6004,24.4591,24.0354,24.2205,24.9525,25.9447
M07,25.8513,26.8415,27.2453,26.5837,25.2797,24.1620,23.3286,22.9026,22.8913,23.2328,23.8973,24.7232
M08,24.9236,26.0170,26.4000,25.8413,24.7362,23.7553,22.9047,22.3374,22.1328,22.4453,22.9949,23.7480
M09,26.4535,27.9573,28.4280,27.5968,24.1341,22.5127,21.7073,21.3370,21.6971,22.6141,23.6439,24.7467
M10,25.7972,26.9977,27.4220,26.3455,24.1484,22.8663,22.1035,21.6547,21.8182,22.5320,23.4148,24.4713
M11,27.9548,28.0061,28.0112,27.4352,25.6742,23.8512,23.0932,23.1245,23.7869,24.7574,25.8940,27.1435
M12,26.9274,27.5825,27.9416,27.3247,25.2343,23.3266,22.5783,22.3151,22.6301,23.4498,24.4490,25.5419
M13,28.3073,28.3794,28.4660,28.0342,26.3437,24.3196,23.3978,23.2882,23.8750,25.0249,26.3263,27.4468
M14,27.7766,28.0345,28.1662,27.7254,25.6365,24.2951,24.0482,24.1638,24.5470,25.4675,26.4138,27.2376
M15,27.7748,27.9783,28.1340,27.7292,25.4804,24.0826,23.9932,24.2490,24.7467,25.6637,26.5490,27.2967
M16,27.8794,28.0954,28.1571,27.7967,25.6487,24.1006,23.9113,24.1964,24.7573,25.6176,26.5610,27.2984
M17,26.9646,28.1299,28.5870,28.4314,26.3108,23.6642,22.7543,22.5644,22.7462,23.3672,24.3073,25.3238
M18,27.1181,28.2288,28.6003,28.3867,26.0935,23.5787,22.6971,22.4246,22.6857,23.3549,24.4749,25.5090
M19,27.0090,27.9065,28.0337,28.0242,26.7592,23.8448,22.5703,22.2273,22.4554,23.1784,24.2278,25.3537
M20,23.5591,24.3981,25.0761,25.1588,24.5136,23.3154,22.0754,21.4909,21.4090,21.6620,22.1124,22.6928
M21,26.1870,26.5389,26.8169,27.0093,27.1652,27.0105,25.9410,24.9179,24.5860,24.7840,25.2778,25.7840
M22,26.6265,27.2004,27.5780,27.3631,24.3525,22.2926,22.0160,21.9248,22.2602,22.8229,23.6731,24.6714
M23,27.8019,28.3076,28.5032,28.2556,27.1246,25.9850,25.3956,25.0338,24.9777,25.1581,25.7960,26.9048
M24,28.5240,28.8518,28.9764,28.8408,27.9572,26.7681,25.9931,25.7705,25.9463,26.2816,26.8894,27.8329
M25,25.7294,26.4274,26.6196,26.2994,24.7912,23.2296,22.4754,22.2090,22.2836,22.4584,23.1643,24.4232
M26,25.4278,26.8002,27.5558,27.6320,26.9941,25.7862,24.8184,23.8507,22.9915,22.7608,23.0891,23.9201
M27,26.0784,26.7367,27.2196,27.2997,26.4201,24.8488,24.1091,23.5889,23.5530,23.9713,24.5502,25.1760
M28,25.8295,26.5277,27.0322,27.1744,26.6396,25.3438,24.3646,23.6456,23.5316,24.0346,24.6443,25.2014
M29,25.0844,25.8851,26.2405,25.4334,24.1362,23.3335,23.0989,23.1314,23.2958,23.8884,24.2314,24.5572
M30,27.3844,28.0163,28.3256,28.2339,27.5115,26.1237,24.9067,24.2576,24.2015,24.7050,25.4922,26.3975
M31,26.1297,27.3793,28.2021,28.0925,26.9225,25.1391,23.3395,22.2231,22.1223,22.9224,23.9235,24.9605
M32,26.4489,27.2457,27.8679,28.1157,28.0215,27.5700,26.7065,26.0908,25.8529,25.4765,25.5027,25.8095
M33,26.2423,27.2936,27.7172,27.2499,25.8623,24.8622,24.2765,23.8395,23.8132,24.1709,24.7031,25.3866
M34,26.9250,27.8906,28.2992,28.0931,26.7508,24.2534,22.7418,22.2798,22.6234,23.5275,24.5765,25.6569
M35,24.5199,25.7933,26.7286,26.6640,25.4896,23.3658,22.0612,21.5005,21.4225,21.8791,22.5672,23.3239
M36,26.1315,26.8421,27.0984,26.3537,24.7358,23.4079,22.5481,22.3097,22.6218,23.4000,24.2445,25.1436
M37,26.1381,27.5537,28.2608,27.7091,25.7454,23.9145,23.0916,22.8232,22.9083,23.4332,24.1848,24.9597
M38,23.4431,24.8742,25.6275,24.8368,23.6519,22.6033,21.8684,21.3719,21.2967,21.6624,22.0053,22.4794
M39,25.0331,26.3050,26.9694,26.9321,25.5667,24.0499,22.8980,21.9601,21.5366,21.6693,22.4105,23.5934
M40,27.0237,27.7683,27.8683,27.0519,24.7940,23.2268,22.7860,22.8406,23.2031,23.9223,24.9836,25.9926
