number,inicio,fin,fecha_pico,duracion_meses,magnitud_pico,categoria_oficial,categoria_relativa
M01,1905-07-01,1905-12-01,1905-09-01,6,0.6755,debil,moderado
M01,1909-10-01,1909-12-01,1909-11-01,3,0.5271,debil,moderado
M01,1911-06-01,1911-10-01,1911-08-01,5,0.8909,debil,fuerte
M01,1913-07-01,1913-11-01,1913-08-01,5,0.8708,debil,fuerte
M01,1915-06-01,1916-09-01,1916-06-01,16,2.3150,fuerte,extremo
M01,1918-05-01,1918-09-01,1918-07-01,5,1.5865,moderado,extremo
M01,1920-07-01,1920-12-01,1920-08-01,6,0.9680,debil,fuerte
M01,1926-06-01,1926-10-01,1926-08-01,5,1.1533,debil,fuerte
M01,1935-07-01,1935-09-01,1935-08-01,3,0.7223,debil,moderado
M01,1936-02-01,1936-08-01,1936-06-01,7,1.3461,debil,fuerte
M01,1941-04-01,1941-09-01,1941-07-01,6,1.0093,debil,fuerte
M01,1944-05-01,1944-08-01,1944-07-01,4,1.1494,debil,fuerte
M01,1948-07-01,1949-06-01,1948-10-01,12,1.6138,moderado,extremo
M01,1950-09-01,1951-01-01,1950-10-01,5,0.8645,debil,fuerte
M01,1951-04-01,1951-06-01,1951-06-01,3,0.7084,debil,moderado
M01,1955-05-01,1955-07-01,1955-07-01,3,0.6997,debil,moderado
M01,1960-08-01,1961-01-01,1960-10-01,6,1.1253,debil,fuerte
M01,1970-06-01,1970-09-01,1970-07-01,4,0.7272,debil,moderado
M01,1972-07-01,1973-10-01,1973-07-01,16,2.5013,fuerte,extremo
M01,1977-05-01,1977-07-01,1977-06-01,3,0.7555,debil,fuerte
M01,1978-06-01,1978-10-01,1978-07-01,5,0.9591,debil,fuerte
M01,1983-11-01,1984-06-01,1984-05-01,8,0.6602,debil,moderado
M01,1985-08-01,1986-10-01,1986-07-01,15,2.4343,fuerte,extremo
M01,1990-05-01,1991-07-01,1990-10-01,15,1.4228,moderado,fuerte
M01,1994-05-01,1994-07-01,1994-06-01,3,0.7362,debil,fuerte
M01,1999-07-01,1999-09-01,1999-08-01,3,0.6346,debil,moderado
M01,2000-01-01,2000-05-01,2000-03-01,5,0.7026,debil,moderado
M01,2002-10-01,2003-06-01,2002-11-01,9,0.6383,debil,moderado
M01,2005-07-01,2006-07-01,2005-09-01,13,1.0879,debil,fuerte
M01,2007-06-01,2007-09-01,2007-08-01,4,0.7613,debil,fuerte
M01,2008-09-01,2008-12-01,2008-11-01,4,0.6148,debil,moderado
M01,2010-01-01,2010-08-01,2010-06-01,8,1.4235,moderado,fuerte
M01,2010-10-01,2011-01-01,2010-11-01,4,0.6455,debil,moderado
M01,2011-03-01,2012-10-01,2012-07-01,20,2.3689,fuerte,extremo
M01,2013-09-01,2014-03-01,2013-10-01,7,0.7877,debil,fuerte
M02,1900-04-01,1900-09-01,1900-06-01,6,0.9150,debil,moderado
M02,1908-05-01,1908-08-01,1908-07-01,4,1.3522,moderado,fuerte
M02,1910-10-01,1910-12-01,1910-11-01,3,0.6897,debil,moderado
M02,1911-05-01,1911-12-01,1911-08-01,8,0.9334,debil,moderado
M02,1915-04-01,1915-06-01,1915-05-01,3,0.7260,debil,moderado
M02,1917-11-01,1918-01-01,1917-12-01,3,0.7245,debil,moderado
M02,1920-05-01,1921-01-01,1920-08-01,9,2.2402,fuerte,extremo
M02,1923-05-01,1924-01-01,1923-08-01,9,1.7958,moderado,fuerte
M02,1925-05-01,1926-05-01,1925-08-01,13,0.7658,debil,moderado
M02,1929-06-01,1929-12-01,1929-10-01,7,1.3626,moderado,fuerte
M02,1934-05-01,1935-01-01,1934-09-01,9,1.2606,debil,fuerte
M02,1941-08-01,1941-12-01,1941-11-01,5,0.9020,debil,moderado
M02,1945-07-01,1946-01-01,1945-12-01,7,0.5651,debil,moderado
M02,1948-06-01,1949-05-01,1948-09-01,12,2.1043,moderado,extremo
M02,1951-06-01,1952-04-01,1951-12-01,11,1.0051,debil,fuerte
M02,1953-11-01,1954-01-01,1953-12-01,3,0.5566,debil,moderado
M02,1954-06-01,1955-01-01,1954-11-01,8,0.7719,debil,moderado
M02,1957-05-01,1957-08-01,1957-07-01,4,1.5040,moderado,fuerte
M02,1961-05-01,1962-01-01,1961-07-01,9,2.0996,moderado,extremo
M02,1962-04-01,1962-06-01,1962-05-01,3,0.5365,debil,moderado
M02,1962-09-01,1963-06-01,1963-05-01,10,1.2729,debil,fuerte
M02,1968-05-01,1969-02-01,1968-07-01,10,1.9628,moderado,extremo
M02,1972-11-01,1973-09-01,1973-06-01,11,0.9472,debil,fuerte
M02,1983-09-01,1984-06-01,1983-12-01,10,1.1423,debil,fuerte
M02,1986-07-01,1987-01-01,1986-09-01,7,1.3016,debil,fuerte
M02,1995-04-01,1996-05-01,1995-07-01,14,2.5813,fuerte,extremo
M02,1997-09-01,1997-12-01,1997-10-01,4,0.6772,debil,moderado
M02,1998-04-01,1998-06-01,1998-05-01,3,0.5800,debil,moderado
M02,1998-10-01,1999-05-01,1999-01-01,8,0.9456,debil,fuerte
M02,2000-12-01,2002-07-01,2001-12-01,20,1.5453,moderado,fuerte
M02,2004-05-01,2005-07-01,2004-07-01,15,1.7786,moderado,fuerte
M02,2007-07-01,2008-01-01,2007-10-01,7,1.0349,debil,fuerte
M02,2008-05-01,2009-03-01,2008-12-01,11,0.7866,debil,moderado
M02,2010-02-01,2011-07-01,2010-12-01,18,0.8941,debil,moderado
M02,2012-04-01,2014-06-01,2012-08-01,27,1.8989,moderado,extremo
M03,1900-06-01,1900-08-01,1900-07-01,3,0.7513,debil,moderado
M03,1903-05-01,1904-03-01,1903-07-01,11,1.3692,moderado,fuerte
M03,1907-05-01,1907-08-01,1907-06-01,4,1.6422,moderado,fuerte
M03,1910-06-01,1911-05-01,1910-12-01,12,2.3884,fuerte,extremo
M03,1913-07-01,1913-11-01,1913-08-01,5,1.1248,debil,fuerte
M03,1923-06-01,1924-07-01,1924-01-01,14,1.2056,debil,fuerte
M03,1929-06-01,1929-10-01,1929-08-01,5,1.3997,moderado,fuerte
M03,1934-04-01,1934-08-01,1934-06-01,5,1.1946,debil,fuerte
M03,1938-05-01,1938-08-01,1938-05-01,4,0.6900,debil,moderado
M03,1940-05-01,1940-07-01,1940-06-01,3,0.9406,debil,fuerte
M03,1943-06-01,1943-11-01,1943-08-01,6,1.1655,debil,fuerte
M03,1947-05-01,1947-10-01,1947-07-01,6,1.8523,moderado,extremo
M03,1948-03-01,1948-07-01,1948-05-01,5,1.2125,debil,fuerte
M03,1953-07-01,1954-03-01,1953-08-01,9,0.7111,debil,moderado
M03,1956-06-01,1956-08-01,1956-07-01,3,1.2328,debil,fuerte
M03,1961-11-01,1962-01-01,1961-12-01,3,0.5289,debil,moderado
M03,1962-05-01,1963-02-01,1962-07-01,10,1.5446,moderado,fuerte
M03,1964-05-01,1964-08-01,1964-06-01,4,0.8730,debil,moderado
M03,1967-07-01,1967-09-01,1967-08-01,3,0.6007,debil,moderado
M03,1968-04-01,1968-08-01,1968-06-01,5,1.7925,moderado,extremo
M03,1969-06-01,1970-05-01,1970-01-01,12,1.7684,moderado,extremo
M03,1974-04-01,1974-07-01,1974-05-01,4,0.8230,debil,moderado
M03,1976-06-01,1976-08-01,1976-07-01,3,0.6641,debil,moderado
M03,1977-02-01,1977-05-01,1977-04-01,4,0.8253,debil,moderado
M03,1979-04-01,1979-10-01,1979-07-01,7,2.1422,moderado,extremo
M03,1983-09-01,1984-01-01,1983-11-01,5,0.9779,debil,fuerte
M03,1986-05-01,1986-10-01,1986-08-01,6,1.7493,moderado,extremo
M03,1988-05-01,1989-02-01,1988-08-01,10,1.1554,debil,fuerte
M03,1989-05-01,1990-03-01,1989-08-01,11,1.7696,moderado,extremo
M03,1995-04-01,1995-08-01,1995-06-01,5,1.7749,moderado,extremo
M03,1996-02-01,1996-06-01,1996-05-01,5,0.9969,debil,fuerte
M03,1998-05-01,1998-08-01,1998-06-01,4,1.3108,debil,fuerte
M03,2000-10-01,2001-02-01,2000-12-01,5,0.8751,debil,fuerte
M03,2002-07-01,2002-11-01,2002-08-01,5,0.9553,debil,fuerte
M03,2004-04-01,2004-06-01,2004-05-01,3,0.9289,debil,fuerte
M03,2006-12-01,2007-06-01,2007-04-01,7,0.8704,debil,moderado
M03,2007-08-01,2008-03-01,2008-01-01,8,1.2117,debil,fuerte
M03,2008-10-01,2010-07-01,2009-08-01,22,1.9336,moderado,extremo
M03,2012-01-01,2012-12-01,2012-07-01,12,2.1985,fuerte,extremo
M03,2013-09-01,2014-03-01,2013-11-01,7,1.1599,debil,fuerte
M04,1903-06-01,1903-12-01,1903-10-01,7,1.2255,debil,fuerte
M04,1914-09-01,1914-11-01,1914-10-01,3,0.7414,debil,moderado
M04,1916-05-01,1916-10-01,1916-06-01,6,1.4031,moderado,fuerte
M04,1921-05-01,1921-10-01,1921-07-01,6,1.5508,moderado,fuerte
M04,1925-05-01,1925-11-01,1925-08-01,7,1.2099,debil,fuerte
M04,1927-05-01,1928-01-01,1927-09-01,9,1.5965,moderado,fuerte
M04,1932-04-01,1933-02-01,1932-08-01,11,2.4540,fuerte,extremo
M04,1934-06-01,1934-08-01,1934-06-01,3,0.5980,debil,moderado
M04,1936-06-01,1936-08-01,1936-07-01,3,0.8093,debil,moderado
M04,1939-07-01,1939-12-01,1939-10-01,6,1.4285,moderado,fuerte
M04,1941-05-01,1942-01-01,1941-08-01,9,2.4847,fuerte,extremo
M04,1943-05-01,1943-12-01,1943-09-01,8,1.2871,debil,fuerte
M04,1946-06-01,1946-10-01,1946-07-01,5,0.8489,debil,fuerte
M04,1948-06-01,1948-08-01,1948-07-01,3,0.7241,debil,moderado
M04,1950-07-01,1950-10-01,1950-09-01,4,1.1669,debil,fuerte
M04,1953-10-01,1954-02-01,1953-12-01,5,0.6040,debil,moderado
M04,1956-05-01,1957-03-01,1956-07-01,11,2.0918,moderado,extremo
M04,1958-06-01,1958-12-01,1958-09-01,7,1.2409,debil,fuerte
M04,1963-06-01,1964-01-01,1963-07-01,8,0.8138,debil,moderado
M04,1965-07-01,1965-11-01,1965-09-01,5,1.3086,debil,fuerte
M04,1967-08-01,1967-11-01,1967-09-01,4,0.9276,debil,fuerte
M04,1970-04-01,1970-06-01,1970-05-01,3,0.7177,debil,moderado
M04,1976-05-01,1976-10-01,1976-06-01,6,1.2473,debil,fuerte
M04,1978-04-01,1978-07-01,1978-06-01,4,0.5876,debil,moderado
M04,1980-05-01,1980-12-01,1980-07-01,8,2.4261,fuerte,extremo
M04,1981-09-01,1981-12-01,1981-10-01,4,0.4844,debil,moderado
M04,1982-12-01,1983-04-01,1983-01-01,5,0.6254,debil,moderado
