number,inicio,fin,fecha_pico,duracion_meses,magnitud_pico,categoria_oficial,categoria_relativa
M01,1905-09-01,1906-02-01,1905-12-01,6,1.0548,moderado,fuerte
M01,1909-08-01,1910-03-01,1909-11-01,8,1.0968,moderado,fuerte
M01,1915-07-01,1916-04-01,1915-12-01,10,1.6001,fuerte,fuerte
M01,1924-08-01,1924-12-01,1924-10-01,5,0.7356,debil,moderado
M01,1934-01-01,1934-05-01,1934-03-01,5,0.9478,debil,fuerte
M01,1935-11-01,1936-04-01,1936-02-01,6,1.1003,moderado,fuerte
M01,1941-01-01,1941-07-01,1941-03-01,7,0.8879,debil,fuerte
M01,1948-07-01,1949-05-01,1948-12-01,11,1.9743,muy_fuerte,extremo
M01,1950-11-01,1951-04-01,1951-02-01,6,0.8992,debil,fuerte
M01,1954-11-01,1955-03-01,1955-02-01,5,0.6348,debil,moderado
M01,1960-08-01,1961-02-01,1960-11-01,7,1.3665,moderado,fuerte
M01,1968-08-01,1969-01-01,1968-11-01,6,1.0548,moderado,fuerte
M01,1972-06-01,1973-03-01,1972-11-01,10,2.0037,muy_fuerte,extremo
M01,1978-10-01,1979-03-01,1979-01-01,6,0.9767,moderado,fuerte
M01,1983-09-01,1984-02-01,1983-12-01,6,1.1590,moderado,fuerte
M01,1985-02-01,1986-05-01,1985-11-01,16,2.1665,muy_fuerte,extremo
M01,1990-03-01,1991-03-01,1990-11-01,13,1.3920,moderado,fuerte
M01,1999-08-01,2000-04-01,2000-02-01,9,1.0310,moderado,fuerte
M01,2002-09-01,2003-05-01,2003-02-01,9,1.0763,moderado,fuerte
M01,2005-03-01,2006-04-01,2006-02-01,14,1.2638,moderado,fuerte
M01,2009-11-01,2010-08-01,2010-03-01,10,1.2059,moderado,fuerte
M01,2011-03-01,2012-05-01,2011-11-01,15,2.6248,muy_fuerte,extremo
M01,2014-02-01,2014-09-01,2014-03-01,8,0.8332,debil,moderado
M02,1900-02-01,1901-01-01,1900-03-01,12,0.9622,moderado,fuerte
M02,1915-09-01,1916-02-01,1916-01-01,6,0.7018,debil,moderado
M02,1920-08-01,1921-02-01,1921-01-01,7,1.0571,moderado,fuerte
M02,1923-09-01,1924-01-01,1923-12-01,5,1.2002,moderado,fuerte
M02,1925-06-01,1926-03-01,1925-11-01,10,0.7411,debil,moderado
M02,1934-09-01,1935-01-01,1934-10-01,5,0.6522,debil,moderado
M02,1948-10-01,1949-02-01,1949-01-01,5,0.8686,debil,moderado
M02,1954-08-01,1955-01-01,1954-12-01,6,0.9537,moderado,fuerte
M02,1961-08-01,1963-05-01,1963-01-01,22,1.5673,fuerte,fuerte
M02,1968-09-01,1969-03-01,1969-01-01,7,1.1843,moderado,fuerte
M02,1972-11-01,1973-09-01,1973-04-01,11,1.6550,fuerte,fuerte
M02,1983-09-01,1984-03-01,1984-01-01,7,1.2348,moderado,fuerte
M02,1995-04-01,1996-03-01,1995-12-01,12,1.5406,fuerte,fuerte
M02,1997-09-01,1999-05-01,1999-01-01,21,1.2194,moderado,fuerte
M02,2000-11-01,2002-07-01,2002-01-01,21,2.0918,muy_fuerte,extremo
M02,2004-04-01,2005-09-01,2005-02-01,18,1.0866,moderado,fuerte
M02,2008-03-01,2009-02-01,2009-01-01,12,1.1735,moderado,fuerte
M02,2010-02-01,2011-04-01,2011-02-01,15,0.9956,moderado,fuerte
M02,2012-06-01,2014-05-01,2014-02-01,24,1.6363,fuerte,fuerte
M03,1903-05-01,1904-03-01,1904-01-01,11,1.6891,fuerte,fuerte
M03,1907-11-01,1908-04-01,1908-03-01,6,1.0942,moderado,fuerte
M03,1910-06-01,1911-04-01,1911-01-01,11,2.5860,muy_fuerte,extremo
