number,inicio,fin,fecha_pico,duracion_meses,magnitud_pico,categoria_oficial,categoria_relativa
M01,1901-09-01,1902-03-01,1902-02-01,7,0.8744,debil,fuerte
M01,1905-07-01,1906-02-01,1905-11-01,8,1.4333,moderado,fuerte
M01,1909-07-01,1910-03-01,1909-11-01,9,1.4750,fuerte,fuerte
M01,1911-08-01,1912-02-01,1911-12-01,7,0.7069,debil,moderado
M01,1913-07-01,1914-01-01,1913-11-01,7,1.3991,moderado,fuerte
M01,1915-04-01,1916-04-01,1915-11-01,13,2.0568,muy_fuerte,extremo
M01,1918-03-01,1919-02-01,1918-12-01,12,1.0024,moderado,fuerte
M01,1920-10-01,1921-02-01,1920-12-01,5,0.9074,debil,fuerte
M01,1924-04-01,1925-02-01,1924-10-01,11,1.1165,moderado,fuerte
M01,1926-08-01,1927-04-01,1926-12-01,9,1.3053,moderado,fuerte
M01,1932-01-01,1932-05-01,1932-03-01,5,0.9491,debil,fuerte
M01,1933-11-01,1934-05-01,1934-03-01,7,1.2327,moderado,fuerte
M01,1935-09-01,1936-05-01,1936-02-01,9,1.3296,moderado,fuerte
M01,1940-11-01,1941-05-01,1941-03-01,7,0.9956,moderado,fuerte
M01,1946-08-01,1947-01-01,1946-11-01,6,0.8257,debil,moderado
M01,1948-06-01,1949-05-01,1948-11-01,12,2.3223,muy_fuerte,extremo
M01,1950-09-01,1951-05-01,1951-02-01,9,1.1595,moderado,fuerte
M01,1954-09-01,1955-03-01,1955-02-01,7,0.9435,debil,fuerte
M01,1957-09-01,1958-01-01,1957-12-01,5,0.7293,debil,moderado
M01,1960-07-01,1961-02-01,1960-11-01,8,1.5498,fuerte,fuerte
M01,1967-10-01,1968-05-01,1968-03-01,8,1.0433,moderado,fuerte
M01,1968-07-01,1969-02-01,1968-11-01,8,1.3616,moderado,fuerte
M01,1972-05-01,1973-03-01,1972-11-01,11,2.3351,muy_fuerte,extremo
M01,1976-10-01,1977-04-01,1976-12-01,7,0.9039,debil,fuerte
M01,1978-08-01,1979-03-01,1979-01-01,8,1.2148,moderado,fuerte
M01,1983-08-01,1984-02-01,1983-12-01,7,1.4279,moderado,fuerte
M01,1985-02-01,1986-04-01,1985-11-01,15,2.4543,muy_fuerte,extremo
M01,1988-12-01,1989-04-01,1989-03-01,5,0.7558,debil,moderado
M01,1990-03-01,1991-02-01,1990-11-01,12,1.2851,moderado,fuerte
M01,1992-11-01,1993-05-01,1993-02-01,7,1.1337,moderado,fuerte
M01,1999-08-01,2000-03-01,2000-01-01,8,0.8475,debil,moderado
M01,2002-09-01,2003-04-01,2003-02-01,8,0.9229,debil,fuerte
M01,2005-04-01,2006-04-01,2006-02-01,13,1.1106,moderado,fuerte
M01,2009-11-01,2010-07-01,2010-03-01,9,1.0402,moderado,fuerte
M01,2011-05-01,2012-04-01,2011-11-01,12,2.4955,muy_fuerte,extremo
M02,1900-02-01,1901-01-01,1900-10-01,12,1.2445,moderado,fuerte
M02,1906-03-01,1906-07-01,1906-05-01,5,0.6222,debil,moderado
M02,1910-09-01,1911-03-01,1910-11-01,7,0.8440,debil,moderado
M02,1912-02-01,1912-08-01,1912-03-01,7,0.8233,debil,moderado
M02,1914-09-01,1915-01-01,1914-10-01,5,0.7523,debil,moderado
M02,1915-07-01,1916-02-01,1915-11-01,8,0.8993,debil,moderado
M02,1917-10-01,1918-03-01,1918-01-01,6,0.7151,debil,moderado
