number,model,institution,country,member_id,resolution_km
M01,ACCESS-CM2,CSIRO-ARCCSS,Australia,r1i1p1f1,250.0
M02,ACCESS-ESM1-5,CSIRO,Australia,r1i1p1f1,250.0
M03,AWI-CM-1-1-MR,AWI,Germany,r1i1p1f1,25.0
M04,BCC-CSM2-MR,BCC,China,r1i1p1f1,100.0
M05,CAMS-CSM1-0,CAMS,China,r1i1p1f1,100.0
M06,CAS-ESM2-0,CAS,China,r1i1p1f1,100.0
M07,CESM2,NCAR,USA,r1i1p1f1,111.0
M08,CESM2-WACCM,NCAR,USA,r1i1p1f1,111.0
M09,CMCC-CM2-SR5,CMCC,Italy,r1i1p1f1,100.0
M10,CMCC-ESM2,CMCC,Italy,r1i1p1f1,100.0
M11,CNRM-CM6-1,CNRM-CERFACS,France,r1i1p1f2,100.0
M12,CNRM-CM6-1-HR,CNRM-CERFACS,France,r1i1p1f2,25.0
M13,CNRM-ESM2-1,CNRM-CERFACS,France,r1i1p1f2,100.0
M14,CanESM5,CCCma,Canada,r1i1p1f1,100.0
M15,CanESM5-1,CCCma,Canada,r1i1p1f1,100.0
M16,CanESM5-CanOE,CCCma,Canada,r1i1p2f1,100.0
M17,EC-Earth3,EC-Earth-Consortium,Sweden,r1i1p1f1,100.0
M18,EC-Earth3-Veg,EC-Earth-Consortium,Sweden,r1i1p1f1,100.0
M19,EC-Earth3-Veg-LR,EC-Earth-Consortium,Sweden,r1i1p1f1,100.0
M20,FGOALS-f3-L,CAS,China,r1i1p1f1,100.0
M21,FGOALS-g3,CAS,China,r1i1p1f1,100.0
M22,GFDL-ESM4,NOAA-GFDL,USA,r1i1p1f1,111.0
M23,GISS-E2-1-G,NASA-GISS,USA,r1i1p3f1,250.0
M24,GISS-E2-1-H,NASA-GISS,USA,r1i1p3f1,250.0
M25,GISS-E2-2-G,NASA-GISS,USA,r1i1p3f1,250.0
M26,IITM-ESM,CCCR-IITM,India,r1i1p1f1,250.0
M27,INM-CM4-8,INM,Russia,r1i1p1f1,100.0
M28,INM-CM5-0,INM,Russia,r1i1p1f1,100.0
M29,IPSL-CM6A-LR,IPSL,France,r1i1p1f1,100.0
M30,KACE-1-0-G,NIMS-KMA,Republic of Korea,r1i1p1f1,250.0
M31,MCM-UA-1-0,UA,USA,r1i1p1f2,250.0
M32,MIROC-ES2L,MIROC,Japan,r1i1p1f2,111.0
M33,MIROC6,MIROC,Japan,r1i1p1f1,100.0
M34,MPI-ESM1-2-HR,MPI-M,Germany,r1i1p1f1,50.0
M35,MPI-ESM1-2-LR,MPI-M,Germany,r1i1p1f1,250.0
M36,MRI-ESM2-0,MRI,Japan,r1i1p1f1,100.0
M37,NorESM2-LM,NCC,Norway,r1i1p1f1,100.0
M38,NorESM2-MM,NCC,Norway,r1i1p1f1,100.0
M39,TaiESM1,AS-RCEC,Taiwan,r1i1p1f1,100.0
M40,UKESM1-0-LL,MOHC,UK,r1i1p1f2,100.0
