number,S_nino34,S_nino12,S_ONI,S_RONI,S_ICEN,S_final,grupo
M08,0.0408,0.0394,0.9460,0.9409,0.9516,0.9462,
M03,0.0549,0.0523,0.9225,0.9819,0.9289,0.9445,
M04,0.1396,0.0785,0.9705,0.9233,0.9363,0.9434,
M22,0.0850,0.0608,0.9877,0.9576,0.8711,0.9388,
M29,0.0664,0.0784,0.9610,0.9084,0.9309,0.9334,
M18,0.1072,0.0963,0.9698,0.9769,0.8453,0.9306,
M02,0.0824,0.0778,0.8824,0.9477,0.9578,0.9293,
M17,0.1052,0.0755,0.9481,0.9621,0.8763,0.9288,
M21,0.0915,0.0762,0.9608,0.9276,0.8940,0.9274,
M14,0.1123,0.0741,0.9540,0.8931,0.9335,0.9268,
M16,0.0643,0.0525,0.9634,0.8894,0.9266,0.9265,
M01,0.0745,0.0555,0.9844,0.9532,0.8402,0.9259,
M33,0.0413,0.0754,0.8680,0.9363,0.9561,0.9201,
M38,0.0603,0.0626,0.9290,0.8969,0.8892,0.9050,
M36,0.0956,0.0680,0.9312,0.9195,0.8641,0.9049,
M19,0.0854,0.0762,0.9789,0.9549,0.7691,0.9010,
M40,0.1155,0.0648,0.9863,0.9773,0.7208,0.8948,
M26,0.0844,0.1219,0.9457,0.8581,0.8655,0.8898,
M05,0.0722,0.0784,0.9005,0.8868,0.8741,0.8871,
M07,0.0528,0.0649,0.8620,0.8881,0.9099,0.8867,
M13,0.0640,0.0369,0.9723,0.9876,0.6730,0.8776,
M09,0.0404,0.0530,0.9603,0.9418,0.7160,0.8727,
M37,0.0591,0.0828,0.9329,0.9358,0.7299,0.8662,
M12,0.0487,0.0414,0.8941,0.9177,0.7702,0.8606,
M06,0.0425,0.0512,0.8626,0.8409,0.8628,0.8554,
M39,0.0368,0.0373,0.8148,0.8188,0.9313,0.8550,
M11,0.0533,0.0515,0.9746,0.8851,0.6670,0.8422,
M23,0.0656,0.0912,0.8151,0.7649,0.9461,0.8420,
M25,0.0531,0.0541,0.9046,0.8810,0.7171,0.8342,
M15,0.0849,0.0639,0.8723,0.8817,0.7470,0.8337,
M24,0.0818,0.0670,0.8719,0.8806,0.6987,0.8171,
M32,0.0477,0.0529,0.7443,0.7173,0.9756,0.8124,
M10,0.0835,0.0766,0.7805,0.7386,0.8871,0.8021,
M30,0.1035,0.0422,0.9352,0.8070,0.6277,0.7900,
M20,0.0414,0.0765,0.7563,0.6952,0.7585,0.7367,
M35,0.0734,0.0765,0.8003,0.5854,0.7945,0.7267,
M31,0.0954,0.0639,0.6607,0.7199,0.7052,0.6953,
M28,0.0800,0.0412,0.8582,0.8088,0.3553,0.6741,
M34,0.0654,0.0529,0.5970,0.4552,0.3294,0.4605,
M27,0.0572,0.0411,0.3699,0.3959,0.3505,0.3721,
