number,sigma,r,rmse_centrado,sigma_norm
OBS,0.5905,1.0000,0.0000,1.0000
M01,0.4279,0.9643,0.2066,0.7246
M02,0.5488,0.9812,0.1155,0.9294
M03,0.4965,0.9782,0.1440,0.8409
M04,0.6846,0.9781,0.1597,1.1593
M05,0.4436,0.9733,0.1848,0.7512
M06,0.4282,0.9771,0.1907,0.7252
M07,0.6632,0.9599,0.1877,1.1231
M08,0.5300,0.9811,0.1220,0.8976
M09,0.3483,0.9666,0.2636,0.5898
M10,0.4416,0.9818,0.1743,0.7479
M11,0.4215,0.8586,0.3083,0.7137
M12,0.3818,0.9620,0.2414,0.6466
M13,0.3688,0.9110,0.2905,0.6245
M14,0.4972,0.9804,0.1392,0.8420
M15,0.3514,0.9833,0.2480,0.5951
M16,0.4626,0.9914,0.1421,0.7835
M17,0.4611,0.9646,0.1860,0.7808
M18,0.4128,0.9788,0.2006,0.6991
M19,0.5120,0.8825,0.2722,0.8670
M20,0.8105,0.9131,0.3554,1.3726
M21,0.6311,0.9469,0.1990,1.0688
M22,0.4333,0.9783,0.1854,0.7338
M23,0.5913,0.9725,0.1358,1.0014
M24,0.5138,0.8374,0.3168,0.8701
M25,0.4553,0.8715,0.2896,0.7710
M26,0.6044,0.9293,0.2206,1.0235
M27,0.2079,0.9442,0.3920,0.3521
M28,0.2245,0.8944,0.3943,0.3802
M29,0.5389,0.9686,0.1475,0.9127
M30,0.3099,0.9623,0.2980,0.5249
M31,0.3286,0.9881,0.2651,0.5565
M32,0.6174,0.9887,0.0929,1.0456
M33,0.5584,0.9792,0.1190,0.9456
M34,0.2029,0.9326,0.3996,0.3436
M35,0.3703,0.9902,0.2251,0.6270
M36,0.4440,0.9674,0.1924,0.7518
M37,0.3568,0.9647,0.2582,0.6043
M38,0.4640,0.9703,0.1760,0.7858
M39,0.5518,0.9670,0.1485,0.9344
M40,0.3415,0.9794,0.2598,0.5783
