number,sigma,r,rmse_centrado,sigma_norm
OBS,0.5990,1.0000,0.0000,1.0000
M01,0.4157,0.9645,0.2227,0.6940
M02,0.5901,0.9694,0.1449,0.9851
M03,0.4927,0.9817,0.1463,0.8226
M04,0.6583,0.9709,0.1601,1.0991
M05,0.4413,0.9613,0.2095,0.7367
M06,0.4511,0.9802,0.1776,0.7531
M07,0.7009,0.9672,0.1917,1.1703
M08,0.5309,0.9840,0.1198,0.8863
M09,0.3355,0.9620,0.2863,0.5601
M10,0.4258,0.9789,0.1985,0.7109
M11,0.4458,0.8893,0.2827,0.7443
M12,0.3815,0.9652,0.2473,0.6370
M13,0.3456,0.9003,0.3194,0.5771
M14,0.4801,0.9779,0.1611,0.8015
M15,0.3736,0.9840,0.2368,0.6238
M16,0.4637,0.9905,0.1511,0.7742
M17,0.4582,0.9698,0.1876,0.7649
M18,0.4269,0.9815,0.1945,0.7128
M19,0.4954,0.8936,0.2674,0.8270
M20,0.8872,0.9250,0.3970,1.4812
M21,0.6448,0.9585,0.1818,1.0765
M22,0.4079,0.9646,0.2282,0.6811
M23,0.6704,0.9649,0.1795,1.1193
M24,0.5778,0.8562,0.3111,0.9647
M25,0.5031,0.8806,0.2802,0.8399
M26,0.5721,0.9278,0.2204,0.9552
M27,0.1973,0.9189,0.4179,0.3294
M28,0.2287,0.9130,0.3946,0.3818
M29,0.5456,0.9648,0.1582,0.9109
M30,0.2961,0.9583,0.3210,0.4944
M31,0.3312,0.9736,0.2820,0.5529
M32,0.6096,0.9869,0.0967,1.0177
M33,0.6215,0.9741,0.1384,1.0375
M34,0.2055,0.8981,0.4172,0.3432
M35,0.3616,0.9880,0.2440,0.6038
M36,0.4813,0.9698,0.1739,0.8036
M37,0.3725,0.9442,0.2715,0.6220
M38,0.4772,0.9725,0.1719,0.7968
M39,0.5053,0.9273,0.2260,0.8435
M40,0.3408,0.9781,0.2705,0.5690
