number,sigma,r,rmse_centrado,sigma_norm
OBS,0.6888,1.0000,0.0000,1.0000
M01,0.7400,0.9947,0.0877,1.0743
M02,0.6210,0.9436,0.2251,0.9016
M03,0.7451,0.9631,0.1985,1.0818
M04,0.7790,0.9926,0.1244,1.1310
M05,0.8346,0.9662,0.2402,1.2117
M06,0.9376,0.9731,0.3046,1.3613
M07,0.9444,0.9749,0.3068,1.3711
M08,0.8049,0.9844,0.1720,1.1685
M09,0.7558,0.9841,0.1421,1.0973
M10,1.1017,0.9826,0.4348,1.5994
M11,0.6503,0.9888,0.1051,0.9442
M12,0.4988,0.9952,0.1944,0.7242
M13,0.7709,0.9923,0.1196,1.1192
M14,0.5724,0.9935,0.1338,0.8310
M15,0.5002,0.9821,0.2144,0.7262
M16,0.6511,0.9830,0.1264,0.9453
M17,0.6382,0.9764,0.1495,0.9265
M18,0.6675,0.9852,0.1161,0.9692
M19,0.6746,0.9896,0.0971,0.9794
M20,1.1028,0.9675,0.4604,1.6011
M21,0.7936,0.9900,0.1449,1.1521
M22,0.6536,0.9952,0.0730,0.9489
M23,0.6822,0.9004,0.2999,0.9904
M24,0.8434,0.9524,0.2757,1.2245
M25,0.8121,0.9637,0.2315,1.1790
M26,0.6667,0.9728,0.1565,0.9679
M27,0.2839,0.8582,0.4589,0.4121
M28,0.5092,0.9687,0.2280,0.7393
M29,0.7645,0.9856,0.1418,1.1100
M30,0.6861,0.9668,0.1736,0.9962
M31,0.4366,0.8961,0.3479,0.6339
M32,1.1047,0.9604,0.4733,1.6039
M33,0.8707,0.9569,0.2853,1.2642
M34,0.3561,0.9463,0.3627,0.5170
M35,0.4350,0.9907,0.2592,0.6316
M36,0.8339,0.9826,0.1985,1.2107
M37,0.8374,0.9843,0.1966,1.2158
M38,0.8500,0.9852,0.2039,1.2341
M39,1.0650,0.9897,0.3877,1.5462
M40,0.7014,0.9933,0.0797,1.0183
