number,sigma,r,rmse_centrado,sigma_norm
OBS,0.6944,1.0000,0.0000,1.0000
M01,0.7511,0.9900,0.1150,1.0817
M02,0.6520,0.9376,0.2375,0.9390
M03,0.7321,0.9657,0.1874,1.0543
M04,0.7994,0.9925,0.1369,1.1513
M05,0.8641,0.9706,0.2490,1.2444
M06,0.8940,0.9669,0.2798,1.2875
M07,0.9672,0.9470,0.3755,1.3930
M08,0.8573,0.9584,0.2712,1.2346
M09,0.7794,0.9712,0.1928,1.1225
M10,1.1660,0.9552,0.5343,1.6792
M11,0.6654,0.9851,0.1191,0.9582
M12,0.4863,0.9904,0.2195,0.7004
M13,0.7643,0.9814,0.1543,1.1007
M14,0.6132,0.9783,0.1558,0.8831
M15,0.5262,0.9654,0.2277,0.7578
M16,0.6780,0.9796,0.1373,0.9765
M17,0.6714,0.9696,0.1671,0.9669
M18,0.6872,0.9553,0.2034,0.9896
M19,0.6798,0.9774,0.1444,0.9790
M20,1.2332,0.9466,0.6079,1.7760
M21,0.8181,0.9799,0.1920,1.1782
M22,0.6623,0.9905,0.0973,0.9537
M23,0.8053,0.8985,0.3490,1.1597
M24,0.9814,0.9169,0.4351,1.4134
M25,0.9428,0.9324,0.3813,1.3578
M26,0.6970,0.9485,0.2197,1.0037
M27,0.3064,0.8759,0.4436,0.4413
M28,0.4907,0.9357,0.2873,0.7067
M29,0.8268,0.9696,0.2252,1.1908
M30,0.7101,0.9725,0.1628,1.0227
M31,0.4546,0.9116,0.3311,0.6546
M32,1.2249,0.9185,0.6376,1.7640
M33,0.8951,0.9194,0.3687,1.2890
M34,0.3892,0.9516,0.3398,0.5605
M35,0.4721,0.9719,0.2562,0.6799
M36,0.8598,0.9794,0.2242,1.2383
M37,0.9283,0.9683,0.3041,1.3369
M38,0.8733,0.9709,0.2553,1.2577
M39,1.0422,0.9852,0.3713,1.5010
M40,0.7481,0.9813,0.1468,1.0773
