number,sigma,r,rmse_centrado,sigma_norm
OBS,0.6574,1.0000,0.0000,1.0000
M01,0.6749,0.9765,0.1426,1.0266
M02,0.5900,0.9791,0.1410,0.8975
M03,0.6669,0.9910,0.0875,1.0144
M04,0.7595,0.9707,0.1952,1.1553
M05,0.8539,0.9739,0.2552,1.2988
M06,0.9709,0.9876,0.3309,1.4769
M07,0.9082,0.9920,0.2636,1.3814
M08,0.8284,0.9960,0.1794,1.2600
M09,0.8009,0.9894,0.1745,1.2182
M10,1.1241,0.9860,0.4785,1.7099
M11,0.5584,0.9528,0.2066,0.8494
M12,0.5072,0.9903,0.1670,0.7716
M13,0.7150,0.9973,0.0749,1.0876
M14,0.5151,0.9731,0.1922,0.7835
M15,0.4981,0.9752,0.1999,0.7577
M16,0.5326,0.9637,0.1984,0.8102
M17,0.6049,0.9842,0.1211,0.9202
M18,0.6495,0.9884,0.0979,0.9879
M19,0.6239,0.9784,0.1346,0.9490
M20,1.1290,0.9583,0.5225,1.7174
M21,0.7260,0.9676,0.1849,1.1043
M22,0.6028,0.9822,0.1280,0.9169
M23,0.7136,0.8735,0.3420,1.0854
M24,0.7808,0.9517,0.2493,1.1876
M25,0.7950,0.9551,0.2515,1.2092
M26,0.5254,0.9491,0.2247,0.7991
M27,0.3070,0.8117,0.4369,0.4670
M28,0.4378,0.9745,0.2458,0.6660
M29,0.7524,0.9614,0.2130,1.1445
M30,0.5919,0.9008,0.2797,0.9004
M31,0.4492,0.9087,0.3056,0.6832
M32,1.1484,0.9821,0.5074,1.7469
M33,0.7819,0.9821,0.1803,1.1893
M34,0.3231,0.8462,0.4123,0.4915
M35,0.3833,0.8753,0.3640,0.5830
M36,0.8057,0.9787,0.2068,1.2256
M37,0.7746,0.9803,0.1801,1.1782
M38,0.8997,0.9940,0.2514,1.3685
M39,1.0142,0.9912,0.3652,1.5426
M40,0.6653,0.9886,0.0983,1.0119
