number,sigma,r,rmse_centrado,sigma_norm
OBS,0.6433,1.0000,0.0000,1.0000
M01,0.6779,0.9733,0.1539,1.0537
M02,0.6439,0.9600,0.1791,1.0008
M03,0.6426,0.9906,0.0867,0.9989
M04,0.7631,0.9715,0.2024,1.1861
M05,0.8681,0.9756,0.2743,1.3493
M06,0.9144,0.9816,0.3035,1.4213
M07,0.9261,0.9881,0.3018,1.4395
M08,0.8636,0.9786,0.2644,1.3423
M09,0.8255,0.9768,0.2367,1.2831
M10,1.1899,0.9692,0.5786,1.8496
M11,0.5775,0.9559,0.1895,0.8977
M12,0.5004,0.9907,0.1600,0.7778
M13,0.6974,0.9974,0.0711,1.0841
M14,0.5293,0.9649,0.1889,0.8227
M15,0.5222,0.9713,0.1813,0.8118
M16,0.5566,0.9593,0.1884,0.8651
M17,0.6362,0.9781,0.1318,0.9889
M18,0.6479,0.9863,0.1053,1.0071
M19,0.6270,0.9803,0.1249,0.9746
M20,1.2621,0.9400,0.6819,1.9619
M21,0.7508,0.9678,0.2031,1.1670
M22,0.6188,0.9804,0.1254,0.9618
M23,0.8279,0.8720,0.4061,1.2869
M24,0.8926,0.9295,0.3721,1.3874
M25,0.9180,0.9297,0.3916,1.4269
M26,0.5251,0.9572,0.2038,0.8162
M27,0.3291,0.8317,0.4057,0.5115
M28,0.4215,0.9725,0.2491,0.6552
M29,0.7836,0.9612,0.2385,1.2180
M30,0.5988,0.9154,0.2550,0.9307
M31,0.4967,0.9380,0.2432,0.7720
M32,1.2670,0.9553,0.6686,1.9694
M33,0.7765,0.9563,0.2437,1.2070
M34,0.3493,0.8360,0.3937,0.5429
M35,0.4114,0.8837,0.3341,0.6395
M36,0.8238,0.9790,0.2304,1.2805
M37,0.8574,0.9619,0.2915,1.3327
M38,0.9253,0.9869,0.3033,1.4383
M39,0.9935,0.9915,0.3595,1.5443
M40,0.7026,0.9827,0.1362,1.0922
