number,sigma,r,rmse_centrado,sigma_norm
OBS,1.0641,1.0000,0.0000,1.0000
M01,0.7143,0.0091,1.2595,0.6713
M02,0.9007,0.0637,1.3362,0.8464
M03,0.9202,-0.0385,1.4156,0.8647
M04,0.8857,0.0677,1.3209,0.8323
M05,0.8768,0.0682,1.3105,0.8240
M06,0.8758,-0.0395,1.3796,0.8230
M07,0.9916,0.0106,1.4330,0.9319
M08,0.9573,-0.1064,1.4880,0.8996
M09,0.7957,-0.0200,1.3208,0.7478
M10,0.8220,0.0697,1.2839,0.7725
M11,0.7769,-0.0238,1.3159,0.7301
M12,0.6513,-0.0440,1.2528,0.6120
M13,0.7910,-0.1044,1.3736,0.7433
M14,0.7151,0.0846,1.2099,0.6720
M15,0.6770,0.0565,1.2107,0.6362
M16,0.6998,-0.0007,1.2547,0.6576
M17,0.8026,0.0691,1.2717,0.7542
M18,0.8511,0.1280,1.2606,0.7998
M19,0.8075,0.0707,1.2705,0.7589
M20,1.1689,0.0541,1.5179,1.0984
M21,0.7717,0.0778,1.2497,0.7252
M22,0.7889,0.0152,1.2898,0.7414
M23,1.1168,0.0996,1.4526,1.0495
M24,0.6820,0.0674,1.2097,0.6409
M25,0.8733,-0.0259,1.3609,0.8207
M26,1.0239,0.1822,1.2879,0.9622
M27,0.4972,0.0281,1.1416,0.4672
M28,0.4943,0.0309,1.1385,0.4645
M29,0.9181,0.0642,1.3464,0.8627
M30,0.6049,-0.0219,1.2151,0.5685
M31,0.5570,0.1095,1.1276,0.5234
M32,1.1526,-0.0395,1.5846,1.0832
M33,0.8586,0.0600,1.3108,0.8069
M34,0.5905,0.0412,1.1747,0.5549
M35,0.7547,0.0829,1.2346,0.7092
M36,0.7642,0.0490,1.2639,0.7182
M37,0.8100,0.0928,1.2596,0.7612
M38,1.0741,0.0006,1.5006,1.0094
M39,0.9555,-0.1186,1.4965,0.8979
M40,0.7026,0.0524,1.2281,0.6603
