file,model,experiment,min_sst,max_sst,n_months,ok_range,ok_length,status,detail
tos_ACCESS-CM2_historical.nc,ACCESS-CM2,historical,15.2998,33.6541,1980,True,True,PASS,
tos_ACCESS-CM2_ssp245.nc,ACCESS-CM2,ssp245,17.8976,35.589,1032,True,True,PASS,
tos_ACCESS-CM2_ssp585.nc,ACCESS-CM2,ssp585,17.3293,37.7158,1032,True,True,PASS,
tos_ACCESS-ESM1-5_historical.nc,ACCESS-ESM1-5,historical,15.761,33.0173,1980,True,True,PASS,
tos_ACCESS-ESM1-5_ssp245.nc,ACCESS-ESM1-5,ssp245,18.3292,34.9659,1032,True,True,PASS,
tos_ACCESS-ESM1-5_ssp585.nc,ACCESS-ESM1-5,ssp585,18.7747,36.6657,1032,True,True,PASS,
tos_AWI-CM-1-1-MR_historical.nc,AWI-CM-1-1-MR,historical,12.9417,33.5707,1980,True,True,PASS,
tos_AWI-CM-1-1-MR_ssp245.nc,AWI-CM-1-1-MR,ssp245,13.8652,34.5939,1032,True,True,PASS,
tos_AWI-CM-1-1-MR_ssp585.nc,AWI-CM-1-1-MR,ssp585,13.7611,35.9288,1032,True,True,PASS,
tos_BCC-CSM2-MR_historical.nc,BCC-CSM2-MR,historical,15.8714,32.7995,1980,True,True,PASS,
tos_BCC-CSM2-MR_ssp245.nc,BCC-CSM2-MR,ssp245,16.988,34.0266,1032,True,True,PASS,
tos_BCC-CSM2-MR_ssp585.nc,BCC-CSM2-MR,ssp585,17.4072,35.7425,1032,True,True,PASS,
tos_CAMS-CSM1-0_historical.nc,CAMS-CSM1-0,historical,15.6805,32.6376,1980,True,True,PASS,
tos_CAMS-CSM1-0_ssp245.nc,CAMS-CSM1-0,ssp245,17.0286,33.501,1020,True,True,PASS,
tos_CAMS-CSM1-0_ssp585.nc,CAMS-CSM1-0,ssp585,16.7343,34.2138,1020,True,True,PASS,
tos_CAS-ESM2-0_historical.nc,CAS-ESM2-0,historical,15.9356,33.6007,1980,True,True,PASS,
tos_CAS-ESM2-0_ssp245.nc,CAS-ESM2-0,ssp245,16.9848,35.2663,1032,True,True,PASS,
tos_CAS-ESM2-0_ssp585.nc,CAS-ESM2-0,ssp585,16.8493,36.3862,1032,True,True,PASS,
tos_CESM2-WACCM_historical.nc,CESM2-WACCM,historical,16.1367,32.6341,1980,True,True,PASS,
tos_CESM2-WACCM_ssp245.nc,CESM2-WACCM,ssp245,17.6976,34.5493,1032,True,True,PASS,
tos_CESM2-WACCM_ssp585.nc,CESM2-WACCM,ssp585,18.1219,36.6021,1032,True,True,PASS,
tos_CMCC-CM2-SR5_historical.nc,CMCC-CM2-SR5,historical,14.3472,33.3697,1980,True,True,PASS,
tos_CMCC-CM2-SR5_ssp245.nc,CMCC-CM2-SR5,ssp245,14.6887,34.9661,1032,True,True,PASS,
tos_CMCC-CM2-SR5_ssp585.nc,CMCC-CM2-SR5,ssp585,15.5029,36.3753,1032,True,True,PASS,
tos_CMCC-ESM2_historical.nc,CMCC-ESM2,historical,14.6338,32.8027,1980,True,True,PASS,
tos_CMCC-ESM2_ssp245.nc,CMCC-ESM2,ssp245,15.4675,34.6969,1032,True,True,PASS,
tos_CMCC-ESM2_ssp585.nc,CMCC-ESM2,ssp585,15.2481,35.988,1032,True,True,PASS,
tos_CNRM-CM6-1-HR_historical.nc,CNRM-CM6-1-HR,historical,15.9072,31.8284,1980,True,True,PASS,
tos_CNRM-CM6-1-HR_ssp245.nc,CNRM-CM6-1-HR,ssp245,17.2331,34.0089,1032,True,True,PASS,
tos_CNRM-CM6-1-HR_ssp585.nc,CNRM-CM6-1-HR,ssp585,17.0639,35.8086,1032,True,True,PASS,
tos_CNRM-CM6-1_historical.nc,CNRM-CM6-1,historical,15.9194,31.9064,1980,True,True,PASS,
tos_CNRM-CM6-1_ssp245.nc,CNRM-CM6-1,ssp245,17.4818,34.1331,1032,True,True,PASS,
tos_CNRM-CM6-1_ssp585.nc,CNRM-CM6-1,ssp585,17.0291,36.3103,1032,True,True,PASS,
tos_CNRM-ESM2-1_historical.nc,CNRM-ESM2-1,historical,15.4402,32.6913,1980,True,True,PASS,
tos_CNRM-ESM2-1_ssp245.nc,CNRM-ESM2-1,ssp245,17.2751,34.6602,1032,True,True,PASS,
tos_CNRM-ESM2-1_ssp585.nc,CNRM-ESM2-1,ssp585,16.7895,36.2903,1032,True,True,PASS,
tos_CanESM5-CanOE_historical.nc,CanESM5-CanOE,historical,16.1012,33.1476,1980,True,True,PASS,
tos_CanESM5-CanOE_ssp245.nc,CanESM5-CanOE,ssp245,17.4252,35.3837,1032,True,True,PASS,
tos_CanESM5-CanOE_ssp585.nc,CanESM5-CanOE,ssp585,17.7951,37.6196,1032,True,True,PASS,
tos_CanESM5_historical.nc,CanESM5,historical,16.7761,34.0336,1980,True,True,PASS,
tos_CanESM5_ssp245.nc,CanESM5,ssp245,17.4203,35.4669,1032,True,True,PASS,
tos_CanESM5_ssp585.nc,CanESM5,ssp585,17.7931,37.8392,1032,True,True,PASS,
tos_FGOALS-f3-L_historical.nc,FGOALS-f3-L,historical,14.2021,1e+35,1980,False,True,FAIL,
tos_FGOALS-f3-L_ssp245.nc,FGOALS-f3-L,ssp245,15.5559,32.636,1032,True,True,PASS,
tos_FGOALS-f3-L_ssp585.nc,FGOALS-f3-L,ssp585,15.5098,34.1611,1032,True,True,PASS,
tos_FGOALS-g3_historical.nc,FGOALS-g3,historical,15.3225,33.1928,1980,True,True,PASS,
tos_FGOALS-g3_ssp245.nc,FGOALS-g3,ssp245,16.2217,34.4563,1032,True,True,PASS,
tos_FGOALS-g3_ssp585.nc,FGOALS-g3,ssp585,16.1236,35.1371,1032,True,True,PASS,
tos_FIO-ESM-2-0_historical.nc,FIO-ESM-2-0,historical,16.6175,32.0748,1980,True,True,PASS,
tos_FIO-ESM-2-0_ssp245.nc,FIO-ESM-2-0,ssp245,17.3334,33.2679,1032,True,True,PASS,
tos_FIO-ESM-2-0_ssp585.nc,FIO-ESM-2-0,ssp585,17.6107,35.2495,1032,True,True,PASS,
tos_GFDL-CM4_historical.nc,GFDL-CM4,historical,14.2601,32.9915,1980,True,True,PASS,
tos_GFDL-CM4_ssp245.nc,GFDL-CM4,ssp245,15.5168,35.612,1032,True,True,PASS,
tos_GFDL-CM4_ssp585.nc,GFDL-CM4,ssp585,15.485,36.2082,1032,True,True,PASS,
tos_GFDL-ESM4_historical.nc,GFDL-ESM4,historical,14.0425,33.3823,1980,True,True,PASS,
tos_GFDL-ESM4_ssp245.nc,GFDL-ESM4,ssp245,15.2471,34.1393,1032,True,True,PASS,
tos_GFDL-ESM4_ssp585.nc,GFDL-ESM4,ssp585,14.6314,35.2257,1032,True,True,PASS,
tos_GISS-E2-1-G_historical.nc,GISS-E2-1-G,historical,18.7625,33.3135,1980,True,True,PASS,
tos_GISS-E2-1-G_ssp245.nc,GISS-E2-1-G,ssp245,19.7333,34.43,1032,True,True,PASS,
tos_GISS-E2-1-G_ssp585.nc,GISS-E2-1-G,ssp585,19.7826,36.2374,1032,True,True,PASS,
tos_GISS-E2-1-H_historical.nc,GISS-E2-1-H,historical,17.519,32.5392,1980,True,True,PASS,
tos_GISS-E2-1-H_ssp245.nc,GISS-E2-1-H,ssp245,18.4153,34.3249,1032,True,True,PASS,
tos_GISS-E2-1-H_ssp585.nc,GISS-E2-1-H,ssp585,18.9871,35.5107,1032,True,True,PASS,
tos_GISS-E2-2-G_historical.nc,GISS-E2-2-G,historical,14.9818,31.9754,1980,True,True,PASS,
tos_GISS-E2-2-G_ssp245.nc,GISS-E2-2-G,ssp245,16.1094,33.3778,1032,True,True,PASS,
tos_GISS-E2-2-G_ssp585.nc,GISS-E2-2-G,ssp585,16.3397,34.2439,1032,True,True,PASS,
tos_HadGEM3-GC31-LL_historical.nc,HadGEM3-GC31-LL,historical,15.6733,33.2179,1980,True,True,PASS,
tos_HadGEM3-GC31-LL_ssp245.nc,HadGEM3-GC31-LL,ssp245,17.8285,35.1398,1032,True,True,PASS,
tos_HadGEM3-GC31-LL_ssp585.nc,HadGEM3-GC31-LL,ssp585,17.6293,37.664,1032,True,True,PASS,
tos_IITM-ESM_historical.nc,IITM-ESM,historical,16.4554,31.9496,1380,True,True,PASS,
tos_IITM-ESM_ssp245.nc,IITM-ESM,ssp245,16.2634,32.7551,1020,True,True,PASS,
tos_IITM-ESM_ssp585.nc,IITM-ESM,ssp585,17.1409,34.104,1020,True,True,PASS,
tos_INM-CM4-8_historical.nc,INM-CM4-8,historical,15.1439,31.7031,1980,True,True,PASS,
tos_INM-CM4-8_ssp245.nc,INM-CM4-8,ssp245,16.2509,32.6776,1032,True,True,PASS,
tos_INM-CM4-8_ssp585.nc,INM-CM4-8,ssp585,16.5386,33.8031,1032,True,True,PASS,
tos_INM-CM5-0_historical.nc,INM-CM5-0,historical,15.3753,31.9145,1980,True,True,PASS,
tos_INM-CM5-0_ssp245.nc,INM-CM5-0,ssp245,17.1746,32.7647,1032,True,True,PASS,
tos_INM-CM5-0_ssp585.nc,INM-CM5-0,ssp585,16.6573,34.1348,1032,True,True,PASS,
tos_IPSL-CM6A-LR_historical.nc,IPSL-CM6A-LR,historical,12.7162,32.5697,1980,True,True,PASS,
tos_IPSL-CM6A-LR_ssp245.nc,IPSL-CM6A-LR,ssp245,14.077,34.2895,1032,True,True,PASS,
tos_IPSL-CM6A-LR_ssp585.nc,IPSL-CM6A-LR,ssp585,13.823,36.9525,1032,True,True,PASS,
tos_KIOST-ESM_historical.nc,KIOST-ESM,historical,16.0307,31.9363,1980,True,True,PASS,
tos_KIOST-ESM_ssp245.nc,KIOST-ESM,ssp245,17.8897,33.4717,1032,True,True,PASS,
tos_KIOST-ESM_ssp585.nc,KIOST-ESM,ssp585,18.2664,34.6811,1032,True,True,PASS,
tos_MCM-UA-1-0_historical.nc,MCM-UA-1-0,historical,16.2244,36.0121,1980,True,True,PASS,
tos_MCM-UA-1-0_ssp245.nc,MCM-UA-1-0,ssp245,17.0358,37.4489,1032,True,True,PASS,
