prioridad,model,tiene_tos,tiene_hist,cual_historical,tiene_ssp245,tiene_ssp370,tiene_ssp585,experimentos_encontrados
0,ACCESS-CM2,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|faf-all|faf-heat|faf-heat-NA0pct|faf-heat-NA50pct|faf-passiveheat|faf-stress|faf-water|hist-GHG|hist-aer|hist-nat|historical|piControl|ssp126|ssp245|ssp370|ssp534-over|ssp585
0,ACCESS-ESM1-5,1,1,historical,1,1,1,1pctCO2|1pctCO2-bgc|1pctCO2-cdr|1pctCO2-rad|abrupt-4xCO2|esm-1pct-brch-1000PgC|esm-1pct-brch-2000PgC|esm-1pct-brch-750PgC|esm-hist|esm-pi-CO2pulse|esm-pi-cdr-pulse|esm-piControl|esm-ssp585|esm-ssp585-ssp126Lu|hist-GHG|hist-aer|hist-bgc|hist-nat|hist-noLu|historical|lig127k|midHolocene|past1000|piControl|ssp126|ssp126-ssp370Lu|ssp245|ssp245-cov-fossil|ssp245-cov-modgreen|ssp245-cov-strgreen|ssp245-covid|ssp370|ssp370-ssp126Lu|ssp534-over|ssp585|ssp585-bgc
0,AWI-CM-1-1-MR,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|historical|piControl|ssp126|ssp245|ssp370|ssp585
0,BCC-CSM2-MR,1,1,historical,1,1,1,1pctCO2|1pctCO2-bgc|1pctCO2-rad|abrupt-4xCO2|dcppA-hindcast|deforest-globe|esm-hist|esm-piControl|esm-ssp585|esm-ssp585-ssp126Lu|hist-GHG|hist-aer|hist-nat|hist-noLu|hist-resAMO|hist-resIPO|historical|piControl|ssp126|ssp126-ssp370Lu|ssp245|ssp370|ssp370-ssp126Lu|ssp585
0,CAMS-CSM1-0,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|historical|piControl|ssp119|ssp126|ssp245|ssp370|ssp585
0,CAS-ESM2-0,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|historical|omip1|piControl|ssp126|ssp245|ssp370|ssp585
0,CESM2,1,1,historical,1,1,1,1pctCO2|1pctCO2-4xext|1pctCO2-bgc|1pctCO2-cdr|1pctCO2-rad|1pctCO2to4x-withism|abrupt-0p5xCO2|abrupt-2xCO2|abrupt-4xCO2|abrupt-solm4p|abrupt-solp4p|deforest-globe|esm-1pct-brch-1000PgC|esm-piControl|esm-ssp585|esm-ssp585-ssp126Lu|faf-all|faf-heat|faf-passiveheat|faf-stress|faf-water|hist-GHG|hist-aer|hist-nat|hist-noLu|historical|historical-withism|lig127k|midHolocene|midPliocene-eoi400|omip1|omip2|piControl|piControl-withism|ssp126|ssp126-ssp370Lu|ssp245|ssp245-GHG|ssp245-aer|ssp245-nat|ssp370|ssp370-lowNTCF|ssp370-ssp126Lu|ssp585|ssp585-withism
0,CESM2-WACCM,1,1,historical,1,1,1,1pctCO2|G1|G6solar|G6sulfur|abrupt-4xCO2|hist-1950HC|hist-piNTCF|historical|piControl|ssp126|ssp245|ssp370|ssp370-lowNTCF|ssp534-over|ssp585
0,CMCC-CM2-SR5,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|dcppA-hindcast|dcppB-forecast|dcppC-hindcast-noAgung|dcppC-hindcast-noElChichon|dcppC-hindcast-noPinatubo|hist-GHG|hist-aer|hist-volc|historical|omip1|omip2|piControl|ssp126|ssp245|ssp370|ssp585
0,CMCC-ESM2,1,1,historical,1,1,1,1pctCO2|1pctCO2-bgc|1pctCO2-rad|abrupt-4xCO2|deforest-globe|hist-noLu|historical|omip1|piControl|ssp126|ssp126-ssp370Lu|ssp245|ssp370|ssp370-ssp126Lu|ssp534-over|ssp585
