model,historical,ssp245,ssp585,categoria
ACCESS-CM2,True,True,True,completo
ACCESS-ESM1-5,True,True,True,completo
ACCESS-OM2,False,False,False,sin_tos
ACCESS-OM2-025,False,False,False,sin_tos
AWI-CM-1-1-HR,False,False,False,sin_tos
AWI-CM-1-1-LR,False,False,False,sin_tos
AWI-CM-1-1-MR,True,True,True,completo
AWI-ESM-1-1-LR,True,False,False,solo_historical
BCC-CSM2-HR,False,False,False,sin_tos
BCC-CSM2-MR,True,True,True,completo
BCC-ESM1,True,False,False,solo_historical
CAMS-CSM1-0,True,True,True,completo
CAS-ESM2-0,True,True,True,completo
CESM1-1-CAM5-CMIP5,False,False,False,sin_tos
CESM1-CAM5-SE-HR,False,False,False,sin_tos
CESM1-CAM5-SE-LR,False,False,False,sin_tos
CESM2,True,True,True,completo
CESM2-FV2,True,False,True,falta_ssp245
CESM2-WACCM,True,True,True,completo
CESM2-WACCM-FV2,True,False,False,solo_historical
CIESM,True,True,True,completo
CMCC-CM2-HR4,True,False,False,solo_historical
CMCC-CM2-SR5,True,True,True,completo
CMCC-CM2-VHR4,False,False,False,sin_tos
CMCC-ESM2,True,True,True,completo
CNRM-CM6-1,True,True,True,completo
CNRM-CM6-1-HR,True,True,True,completo
CNRM-ESM2-1,True,True,True,completo
CanESM5,True,True,True,completo
CanESM5-1,True,True,True,completo
CanESM5-CanOE,True,True,True,completo
E3SM-1-0,True,False,True,falta_ssp245
E3SM-1-1,True,False,True,falta_ssp245
E3SM-1-1-ECA,True,False,True,falta_ssp245
E3SM-2-0,True,False,False,solo_historical
E3SM-2-0-NARRM,True,False,False,solo_historical
E3SM-2-1,True,False,False,solo_historical
EC-Earth3,True,True,True,completo
EC-Earth3-AerChem,True,False,False,solo_historical
EC-Earth3-CC,True,True,True,completo
EC-Earth3-HR,False,False,False,sin_tos
EC-Earth3-LR,False,False,False,sin_tos
EC-Earth3-Veg,True,True,True,completo
EC-Earth3-Veg-LR,True,True,True,completo
EC-Earth3P,False,False,False,sin_tos
EC-Earth3P-HR,False,False,False,sin_tos
ECMWF-IFS-HR,False,False,False,sin_tos
ECMWF-IFS-LR,False,False,False,sin_tos
ECMWF-IFS-MR,False,False,False,sin_tos
FGOALS-f3-H,False,False,False,sin_tos
FGOALS-f3-L,True,True,True,completo
FGOALS-g3,True,True,True,completo
FIO-ESM-2-0,True,True,True,completo
GFDL-CM4,True,True,True,completo
GFDL-ESM2M,False,False,False,sin_tos
GFDL-ESM4,True,True,True,completo
GISS-E2-1-G,True,True,True,completo
GISS-E2-1-G-CC,True,True,True,completo
GISS-E2-1-H,True,True,True,completo
GISS-E2-2-G,True,True,True,completo
GISS-E2-2-H,True,False,False,solo_historical
GISS-E3-G,True,False,False,solo_historical
HadGEM3-GC31-HH,False,False,False,sin_tos
HadGEM3-GC31-HM,False,False,False,sin_tos
HadGEM3-GC31-LL,True,True,True,completo
HadGEM3-GC31-MH,False,False,False,sin_tos
HadGEM3-GC31-MM,True,False,True,falta_ssp245
ICON-ESM-LR,True,False,False,solo_historical
IITM-ESM,True,True,True,completo
INM-CM4-8,True,True,True,completo
INM-CM5-0,True,True,True,completo
INM-CM5-H,False,False,False,sin_tos
IPSL-CM5A2-INCA,True,False,False,solo_historical
IPSL-CM6A-LR,True,True,True,completo
IPSL-CM6A-LR-INCA,True,False,False,solo_historical
IPSL-CM6A-MR1,False,False,False,sin_tos
KACE-1-0-G,True,True,True,completo
KIOST-ESM,True,True,True,completo
MCM-UA-1-0,True,True,True,completo
MIROC-ES2H,True,True,True,completo
MIROC-ES2L,True,True,True,completo
MIROC6,True,True,True,completo
MPI-ESM-1-2-HAM,True,False,False,solo_historical
MPI-ESM1-2-HR,True,True,True,completo
MPI-ESM1-2-LR,True,True,True,completo
MPI-ESM1-2-XR,False,False,False,sin_tos
MRI-ESM2-0,True,True,True,completo
NESM3,True,True,True,completo
NICAM16-7S,False,False,False,sin_tos
NICAM16-8S,False,False,False,sin_tos
NICAM16-9S,False,False,False,sin_tos
NorCPM1,True,False,False,solo_historical
NorESM1-F,False,False,False,sin_tos
NorESM2-LM,True,True,True,completo
NorESM2-MM,True,True,True,completo
SAM0-UNICON,True,False,False,solo_historical
TaiESM1,True,True,True,completo
TaiESM1-TIMCOM,False,False,False,sin_tos
TaiESM1-TIMCOM2,False,False,False,sin_tos
UKESM1-0-LL,True,True,True,completo
UKESM1-1-LL,True,False,False,solo_historical
UKESM1-ice-LL,False,False,False,sin_tos
